,simpleText,author,isReply
0,"Thank you for this..... After failing Maths in the 1970s, channels like yours have helped me to ""have a go""—not for a career but to prevent cognitive decline. I may not understand it all, but that's okay; for me, just trying is important.",@tx3851,FALSE
1,That’s really amazing to hear Tx!,@LunarTech_ai,TRUE
2,"I have failed too back in 2015, specifically in Calculus, and it caused me to even change Major. I returned 7 years later with Calculus again back in college and back in my previous Major, not understanding a single bit. I can tell you that on the first lecture, if you said something in Chinese to me, I'd manage to pick something up, but from what the professor said, I wouldn't. I strongly believed that there is not a single chance I'd pass that course. Long story short, after hard work and dedication and believing in myself, I ended with an A+. Mathematics are for everyone, all you need to do is sit down and solve some exercises yourself, make some mistakes, re-think it, see the solution if you can't manage it, cover it and re-try yourself again. Over and over and over. Understanding mathematics of any level needs nothing more, nothing less. Keep up the good work sir.",@dev77cmd,TRUE
3,"me, too. Lets give LA a second try !",@beerensaft413,TRUE
4,in india we learn this in 11th and 12th standard,@riju1956,FALSE
5,And they teach personal hygiene only after you graduate! 😅😅😅😅😅,@ahafeel,TRUE
6,​ @ahafeel  wild😭,@user-fx4bt9lb4z,TRUE
7,​ @ahafeel  Age 24??!!😂😅😅,@timestoryx,TRUE
8,P@jeet spotted,@vult07,TRUE
9,It's like doing kindergarten work in IEP class in high school,@tamekkaknuth9612,TRUE
10,​ @vult07 pork! spotted,@vadcrch,TRUE
11,"Nobody cares. You have still cast system and very very population, you firstly need to learn basic stuff rather than linear algebra",@vadka1997,TRUE
12,"Don’t get too proud but I do think this should be the standard for all education systems. 19th century Europeans that were educated in mathematics took on this level of material by age 12 and I think that probably the limit to advanced study, at least a nice standard for us",@ryansamuel8835,TRUE
13, @ahafeel the white people who made this stereotype use “Indian” since they can’t tell the difference between brown Indians/pakistanis/arabs. It’s an insult to ALL of us. But since we’re playing this game every muslim I’ve met smells like they came directly from a slaughterhouse.,@bhaveerathod2373,TRUE
14,"⁠​⁠ @vadka1997 what kind of terrible points are those? 😂 1. High population And 2. Caste system How do those points relate to learning “basic stuff” According to you, we cannot learn linear algebra since we have to focus on population size and caste system? Stupidest comment I’ve read today, here’s your trophy: 🏆",@bhaveerathod2373,TRUE
15,Krwali beyzati he Jagah apni bhkti na dikhaya kro,@aslamkhan8362,TRUE
16, @ahafeel  W,@realcirno1750,TRUE
17, @vadka1997 and we also know our gender,@Prakhar-pr6kz,TRUE
